,cal_date,pos
1,20180102,1.0
2,20180103,1.0
3,20180104,1.0
4,20180105,1.0
7,20180108,1.0
8,20180109,1.0
9,20180110,1.0
10,20180111,1.0
11,20180112,1.0
14,20180115,1.0
15,20180116,0.85
16,20180117,0.85
17,20180118,1.0
18,20180119,1.0
21,20180122,0.85
22,20180123,0.85
23,20180124,1.0
24,20180125,0.85
25,20180126,0.85
28,20180129,1.0
29,20180130,1.0
30,20180131,0.7
31,20180201,0.3999999999999999
32,20180202,0.5499999999999999
35,20180205,0.5499999999999999
36,20180206,0.3999999999999999
37,20180207,0.3999999999999999
38,20180208,0.09999999999999992
39,20180209,0.09999999999999992
42,20180212,0.5499999999999999
43,20180213,0.5499999999999999
44,20180214,0.3999999999999999
52,20180222,0.7
53,20180223,0.85
56,20180226,0.85
57,20180227,0.7
58,20180228,0.5499999999999999
59,20180301,0.09999999999999992
60,20180302,0.09999999999999992
63,20180305,0.7
64,20180306,0.7
65,20180307,0.09999999999999992
66,20180308,0.09999999999999992
67,20180309,0.7
70,20180312,0.5499999999999999
71,20180313,0.24999999999999992
72,20180314,0.09999999999999992
73,20180315,0.5499999999999999
74,20180316,0.3999999999999999
77,20180319,0.09999999999999992
78,20180320,0.09999999999999992
79,20180321,0.09999999999999992
80,20180322,0.24999999999999992
81,20180323,0.24999999999999992
84,20180326,0.24999999999999992
85,20180327,0.09999999999999992
86,20180328,0.09999999999999992
87,20180329,0.09999999999999992
88,20180330,0.09999999999999992
91,20180402,0.09999999999999992
92,20180403,0.09999999999999992
93,20180404,0.09999999999999992
98,20180409,0.09999999999999992
99,20180410,0.09999999999999992
100,20180411,0.09999999999999992
101,20180412,0.09999999999999992
102,20180413,0.09999999999999992
105,20180416,0.09999999999999992
106,20180417,0.09999999999999992
107,20180418,0.09999999999999992
108,20180419,0.09999999999999992
109,20180420,0.5499999999999999
112,20180423,0.09999999999999992
113,20180424,0.09999999999999992
114,20180425,0.09999999999999992
115,20180426,0.09999999999999992
116,20180427,0.09999999999999992
121,20180502,0.09999999999999992
122,20180503,0.09999999999999992
123,20180504,0.09999999999999992
126,20180507,1.0
127,20180508,1.0
128,20180509,1.0
129,20180510,1.0
130,20180511,1.0
133,20180514,1.0
134,20180515,1.0
135,20180516,1.0
136,20180517,0.85
137,20180518,0.85
140,20180521,1.0
141,20180522,0.85
142,20180523,0.85
143,20180524,1.0
144,20180525,1.0
147,20180528,1.0
148,20180529,1.0
149,20180530,0.85
150,20180531,0.85
151,20180601,0.85
154,20180604,0.85
155,20180605,0.85
156,20180606,0.5499999999999999
157,20180607,0.7
158,20180608,1.0
161,20180611,1.0
162,20180612,1.0
163,20180613,0.7
164,20180614,0.5499999999999999
165,20180615,0.85
169,20180619,1.0
170,20180620,0.85
171,20180621,0.09999999999999992
172,20180622,0.09999999999999992
175,20180625,0.24999999999999992
176,20180626,0.09999999999999992
177,20180627,0.24999999999999992
178,20180628,0.09999999999999992
179,20180629,0.09999999999999992
182,20180702,0.09999999999999992
183,20180703,0.09999999999999992
184,20180704,0.09999999999999992
185,20180705,0.09999999999999992
186,20180706,0.09999999999999992
189,20180709,0.09999999999999992
190,20180710,0.09999999999999992
191,20180711,0.09999999999999992
192,20180712,0.09999999999999992
193,20180713,0.09999999999999992
196,20180716,0.09999999999999992
197,20180717,0.09999999999999992
198,20180718,0.09999999999999992
199,20180719,0.09999999999999992
